"imageID","range0","range1","range2","range3","range4","range5","range6","range7","range8","range9","range10","range11","range12","range13","range14","range15","range16","range17","range18","range19","range20","range21","range22","range23","range24","range25","range26","range27","range28","range29","range30","range31","range32","range33","range34","range35","range36","range37","range38","range39","range40","range41","range42","range43","range44","range45","range46","range47","range48","range49","range50","range51","range52","range53","range54","range55","range56","range57","range58","range59","range60","range61","range62","range63","grayscale","contrast","Style"
152,0,0.256261983280926,0,0,0,0.311185673747987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212362911266201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145739703965028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744497277398573,142.0612,168.471,"Cat5"
153,0.167172395833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106664583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120243229166667,0,0,0,0,0.253671354166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3522484375,146.575,194.823,"Cat13"
156,0,0.107974006116208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217064220183486,0,0,0,0.290267584097859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220168195718654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164525993883792,151.1606,169.431,"Cat4"
164,0.133746098862378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182878620087922,0,0,0,0,0.264465250511762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31614483707507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102765193462868,131.7854,159.423,"Cat4"
165,0.133005573248408,0,0,0,0,0.180059713375796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263117038216561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187360668789809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236457006369427,135.6412,197.65,"Cat5"
167,0.254793173808199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131341124095715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293192357633092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154878501205713,136.3032,215.185,"Cat13"
175,0.0908053467270282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134132297921749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21060128932883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167579395563583,148.8442,199.722,"Cat13"
181,0.129313829787234,0.319688829787234,0,0,0,0,0.326595744680851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178699468085106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457021276595745,109.5552,201.181,"Cat12"
184,0.267442602040816,0.25531462585034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216439909297052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177923044217687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828798185941043,118.503,206.536,"Cat12"
185,0.257611815355178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184050865024316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258564537989317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140859443514311,105.8444,215.914,"Cat13"
